ID,SEX,EDUCATION,MARRIAGE,AGE,LIMIT_BAL,bill_ap,bill_m,bill_ju,bill_jy,bill_ag,bill_s,pmt_ap,pmt_m,pmt_ju,pmt_jy,pmt_ag,pmt_s,pay_ap,pay_m,pay_ju,pay_jy,pay_ag,pay_s,DEFAULT
44,female,university,1,37,140000,69802,67079,64280,62925,61544,59504,3000,4000,4000,3000,3000,3000,0,0,0,0,0,0,not default
45,female,graduate school,2,30,40000,29197,26636,25209,25921,21295,18927,0,3000,2000,0,5000,3000,0,0,2,0,0,0,not default
46,male,graduate school,2,29,210000,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,default
47,female,graduate school,2,22,20000,0,16675,16341,15800,16484,14028,0,0,334,16741,0,3000,0,0,-1,2,0,0,default
48,female,other,2,46,150000,0,0,1170,1170,3034,4463,0,0,0,0,1170,1013,-2,0,0,-1,0,0,default
49,male,university,2,32,380000,11873,11849,32018,15134,21540,22401,8251,11875,11851,24677,15138,21540,-1,-1,-1,-1,-1,-1,not default
50,male,graduate school,2,24,20000,20063,20480,19865,19476,18479,17447,1069,912,928,704,1315,1318,0,0,0,0,0,0,not default
51,male,high school,2,42,70000,39362,38659,39423,38355,36171,37042,1500,1500,0,2000,3100,0,0,2,2,2,2,1,default
52,female,high school,3,43,100000,33258,35762,39619,43824,51163,61559,1000,1500,2000,1500,1606,2000,0,0,0,0,0,0,not default
53,female,university,1,49,310000,464,3544,11185,7600,7867,13465,0,464,3544,11185,7600,7875,-2,-2,-2,-2,-2,-2,not default
54,female,graduate school,2,25,180000,45319,44420,43510,42758,41742,41402,1622,1790,1762,1762,2010,1300,0,0,0,0,2,1,not default
55,female,graduate school,2,29,150000,16540,21042,26518,31434,34993,46224,5000,2000,1500,1049,1718,1600,0,0,0,0,0,2,not default
56,female,graduate school,1,45,500000,2530,151,0,162,3640,1905,0,2530,151,0,162,3640,-2,-2,-2,-2,-2,-2,not default
57,female,high school,1,34,180000,8321,-679,7142,8441,15793,16386,2000,9000,679,7500,1500,8500,-1,-1,-1,0,0,0,not default
58,female,university,1,34,180000,129918,132202,168608,172308,173440,175886,3800,4816,4814,5253,7296,8083,0,0,0,0,0,0,not default
59,female,graduate school,2,34,200000,1414,700,1166,782,1098,1587,0,1200,0,700,0,0,2,2,2,2,3,-1,not default
60,female,university,1,29,400000,364089,356656,360199,404205,398857,400134,23000,12000,12000,30000,15029,17000,0,0,0,0,0,0,not default
61,female,high school,1,28,500000,15571,13827,14937,18878,23638,22848,2000,2000,1000,1000,1300,1516,0,0,0,0,0,0,default
62,male,university,1,39,70000,830,14096,16518,69938,72060,70800,0,3000,2000,1000,2095,4025,-1,0,0,0,0,0,not default
63,male,graduate school,2,29,50000,28264,27667,25865,26591,24300,24987,0,1200,2225,0,2700,0,2,2,2,2,2,2,default
64,female,university,1,46,50000,0,0,0,0,29166,28718,0,0,0,0,0,1000,-2,-2,-2,0,0,0,default
65,female,university,1,51,130000,0,2353,0,0,0,99,0,0,2353,0,0,0,-1,-1,-2,-2,-1,-1,not default
66,male,graduate school,1,57,200000,7918,8198,8174,144076,148751,152519,1000,0,300,8222,0,0,2,2,-1,-2,-2,-2,default
67,male,university,1,56,10000,4326,4196,4062,3978,4193,2097,160,200,200,150,0,2300,0,0,0,2,2,2,default
68,female,graduate school,2,30,210000,4250,300,2280,1159,300,300,909,4250,300,2280,1159,300,-1,-1,-1,-1,-1,2,not default
69,female,high school,2,29,130000,7319,10161,10311,-9850,-9850,-190,13899,7319,0,20161,0,0,-1,2,-1,-2,-2,1,not default
70,male,other,2,22,20000,5982,11205,18085,17285,17204,18565,0,1000,500,1000,1200,0,0,0,0,0,0,2,not default
71,male,graduate school,2,31,80000,390,390,390,390,0,780,390,390,390,390,390,0,-1,-1,-1,-1,-1,-1,not default
72,male,university,2,29,320000,63526,62307,58622,60184,59246,58267,1600,2400,4800,0,2500,2500,2,2,2,2,2,2,default
73,female,university,1,32,200000,3151,3848,5247,-684,5787,9076,1395,3165,17,9102,15,5818,-1,2,-1,-1,-1,-1,not default
74,female,graduate school,2,37,290000,0,2359,0,3155,0,0,0,0,2359,0,3155,0,-1,-1,-1,-1,-2,1,not default
75,male,graduate school,2,32,340000,25820,80153,4291,23337,5550,3048,2016,25949,80552,4314,23453,5713,-1,-1,-1,-1,-1,-1,not default
76,male,university,2,24,20000,18543,17332,16976,16642,17216,14619,0,1500,630,610,0,2850,0,0,0,2,0,0,not default
77,male,high school,2,25,50000,10030,9590,9636,36087,37225,42838,1000,1000,500,320,1779,1759,0,0,0,0,0,-1,not default
78,female,graduate school,1,45,300000,291,291,291,291,291,291,291,291,291,291,291,291,-1,-1,-1,-1,-1,-1,not default
79,female,university,2,22,30000,6411,26446,28004,30326,29612,28387,0,1765,3000,560,1400,1686,0,0,0,0,0,0,default
80,female,university,2,44,240000,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,1,default
81,female,high school,3,33,470000,29889,29271,69923,162702,157784,165254,3000,1000,960,3000,7566,6400,0,0,0,0,0,0,not default
82,female,graduate school,2,26,360000,196,180000,33100,30400,27796,23411,2963,196,146900,3100,3400,4796,-1,0,0,0,0,0,not default
83,male,high school,2,30,60000,19771,19899,21993,28108,27471,26324,0,1140,768,648,1213,1576,0,0,0,0,0,0,default
84,female,university,1,44,400000,94058,104990,104430,126819,139060,131595,2800,3200,3000,3050,3,10700,0,0,0,2,0,0,not default
85,female,high school,2,49,50000,19482,19342,20414,21489,47863,48909,826,849,699,700,1302,1676,0,0,0,0,0,0,not default
86,male,university,2,33,160000,120418,118407,118418,71934,107808,130028,4500,4800,4500,80000,3547,4400,0,0,0,0,0,0,not default
87,female,graduate school,1,45,360000,390,390,390,780,1170,390,390,390,390,0,0,1170,-1,-1,0,2,-1,-1,default
88,female,university,2,32,160000,766,7072,8604,6604,4751,3826,2303,766,0,2000,2000,1147,-1,0,0,0,0,0,not default
89,female,graduate school,1,35,130000,1190,7095,1330,17740,117866,81313,2090,1190,7095,1330,5000,40000,-1,-1,-1,0,0,0,not default
90,male,high school,2,44,20000,11970,12314,10488,9651,8303,8583,1500,0,2000,1000,1651,0,2,0,0,0,2,2,not default
91,male,graduate school,1,53,200000,149531,147124,144098,142460,140774,138180,5000,5000,5500,5500,5500,6300,2,2,2,2,2,2,default
92,female,graduate school,2,39,280000,0,0,3868,3968,0,7524,0,0,0,0,3968,0,-2,0,0,-1,-1,-1,not default
93,female,graduate school,2,27,100000,0,0,0,0,5555,-2000,0,0,0,0,0,7555,-2,-2,-2,-2,-2,-2,not default
94,female,university,1,37,160000,0,0,840,840,1602,880,7736,0,0,840,840,1602,-2,-1,-1,-1,-1,-1,not default
95,female,university,2,23,60000,19323,19209,19595,47214,46850,45648,835,816,690,682,1301,1937,0,0,0,0,0,0,not default
96,male,university,2,35,90000,30835,30942,35565,87653,85996,83725,1143,1104,1112,1179,3597,3621,0,0,0,0,0,0,not default
97,male,graduate school,1,43,360000,9956,26370,6451,3394,8322,3967,68978,0,27000,12902,3394,8339,0,-1,-1,-1,-1,-1,not default
98,male,graduate school,2,27,150000,40788,87725,89775,89006,86108,86009,800,1698,4040,3266,10006,4031,0,0,0,0,0,0,not default
99,female,high school,1,22,50000,7899,8866,13150,16997,18160,18722,197,321,281,379,1194,1411,0,0,0,0,0,0,not default
100,male,university,1,38,20000,150,17928,18240,19559,19367,17973,0,150,1750,626,1460,1699,-1,0,0,0,0,0,default
101,male,graduate school,2,32,140000,1430,100,415,850,10212,672,0,1430,100,415,850,10212,-2,-2,-2,-2,-2,-2,not default
102,female,graduate school,2,30,380000,34056,33564,32891,32475,-303,-81,5000,1250,1197,1171,33178,223,0,0,0,-1,-2,-2,not default
103,male,graduate school,1,63,480000,469961,471145,487066,479432,431342,422069,24200,18000,0,17000,55693,16078,0,2,2,0,0,0,not default
104,female,high school,2,22,50000,24094,23477,32496,38347,42254,44698,904,995,840,1002,1362,1767,0,0,0,0,0,0,default
105,female,university,2,26,60000,55305,55447,60218,59175,55208,56685,3000,3000,6,2511,5000,0,0,2,2,2,2,2,not default
106,female,university,2,24,70000,26529,0,0,0,0,5580,2000,26529,0,0,0,0,-1,-2,-2,-2,-1,-1,not default
107,female,university,1,36,80000,1150,1150,3319,3277,2861,6108,1035,1150,1150,3319,3279,2861,-1,-1,-1,-1,-1,-1,not default
108,male,graduate school,2,52,350000,5263,1150,867,722,2272,713,5011,5263,1150,867,722,2272,-1,-1,-1,-1,-1,-1,not default
109,male,university,2,38,130000,126568,44127,120483,39940,178382,171438,4796,133841,4566,133657,0,10908,-1,-1,-1,0,0,0,not default
110,male,university,1,35,360000,-103,-103,-103,-103,-103,-103,0,0,0,0,0,0,-2,-2,-2,-2,-2,1,not default
111,female,graduate school,1,31,330000,107289,106491,105896,105594,108431,105879,0,15794,4100,3593,0,9260,0,0,0,2,0,0,not default
112,male,high school,1,47,50000,17393,16671,15928,15181,14722,13244,1000,1000,1000,1000,1000,2000,0,0,0,2,0,0,not default
113,male,university,1,41,280000,149415,152174,144401,134813,138532,135673,5000,0,14850,14254,0,6500,3,2,2,2,2,2,not default
114,female,graduate school,2,24,100000,59713,60100,56076,54477,52692,52128,2033,3000,5080,3076,2677,2000,0,0,0,0,0,0,not default
115,male,university,2,41,50000,19957,20311,20274,20259,19294,19015,684,724,718,700,1305,1340,0,0,0,0,0,0,not default
116,male,graduate school,2,24,30000,21201,20692,21319,18631,17618,18199,1000,1000,0,3000,1312,0,2,3,0,0,2,-1,default
117,male,graduate school,2,28,240000,326,476,5676,326,326,326,526,326,476,5676,326,326,-1,-1,-1,-1,-1,-1,not default
118,male,university,2,26,80000,18186,17629,17055,16630,15493,14029,1000,1000,1000,1000,1700,2000,0,0,0,0,0,2,default
119,male,university,1,34,400000,7959,14837,7839,11867,9666,19660,5712,7959,14837,7839,11867,9677,-1,-1,-1,-1,-1,-1,not default
120,female,university,2,38,240000,1203,1307,52479,53015,51445,50254,563,1203,1307,3000,3000,2000,-1,-1,0,0,0,0,not default
121,male,high school,2,37,50000,51143,49318,48851,48953,45976,46004,0,2800,1400,1000,4035,1000,2,2,3,2,2,2,default
122,male,graduate school,1,40,450000,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,1,default
123,female,graduate school,1,48,110000,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,1,not default
124,female,university,1,35,310000,198889,246491,258610,306314,311243,304991,5987,6833,8599,8407,11128,13019,0,0,0,0,0,2,default
125,male,graduate school,2,27,20000,15630,19717,19378,19298,18962,19115,0,313,861,600,1130,1404,0,0,0,0,0,0,not default
126,male,university,2,23,20000,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,1,not default
127,male,high school,2,52,200000,104993,103146,100914,98951,99530,110151,3784,3669,3848,3602,3585,3568,0,0,0,0,0,0,not default
128,male,graduate school,1,36,180000,95927,97753,95766,99278,116422,163736,1000,2217,2142,2067,2690,4655,0,0,0,0,0,0,default
129,male,university,1,51,50000,7077,6375,5347,4503,3899,3347,134,1200,1500,1300,1066,1000,0,0,0,0,0,0,default
130,male,high school,1,55,60000,26547,29510,28853,57244,61450,60521,1500,1100,1200,1200,7,2504,0,0,0,2,2,3,not default
131,female,graduate school,2,23,30000,5906,13744,-27,3508,5645,4000,3024,5911,13771,27,3508,5645,-1,-1,-2,-2,-2,1,not default
132,male,graduate school,2,41,240000,1737,360,3164,3301,2622,95,924,1737,360,0,3301,2622,-1,0,0,-1,-1,1,not default
133,male,university,1,34,420000,188108,210606,220951,229049,247743,253454,11326,7253,7830,7603,9553,9744,0,0,0,0,0,0,not default
134,male,high school,1,46,330000,228203,227775,227587,229644,228719,227389,8200,8391,8175,8025,8095,8210,0,0,0,0,0,0,not default
135,female,university,2,22,30000,-780,17603,25350,26712,26145,28452,1560,0,500,0,1400,2000,0,0,0,0,0,0,not default
136,male,university,1,34,240000,13891,14158,13269,13681,12035,10674,327,0,1000,0,1800,1500,2,2,2,0,0,0,not default
137,male,graduate school,2,27,150000,30229,27200,24614,22000,19342,17444,5000,3500,3000,3000,3000,2500,0,0,0,0,0,0,not default
138,female,university,1,33,210000,5708,4404,9189,8792,7997,7166,546,2000,500,1000,1500,1500,0,0,0,0,0,0,not default
139,female,high school,1,51,50000,0,0,0,5880,300,752,0,0,0,0,5880,300,-2,-2,-1,-1,-1,-1,default
140,male,graduate school,2,24,50000,18995,19375,19430,49586,50143,50801,2130,870,900,1000,1700,2360,0,0,0,0,0,0,not default
141,male,graduate school,2,47,240000,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,1,default
142,male,university,2,28,180000,416,416,332,832,0,1832,832,3500,500,332,416,0,-1,-1,-1,-1,-1,-1,not default
143,male,university,2,23,50000,18065,19879,19996,20583,10833,10131,600,800,700,400,10000,1000,0,0,2,2,2,1,not default
144,male,university,2,29,170000,15846,9983,10000,10000,10000,12159,10000,15863,9983,10000,10000,10000,-2,-2,-2,-2,-2,-2,not default
145,male,graduate school,2,29,20000,339,6702,2340,344,15586,1199,330,339,4702,2340,344,15586,-1,0,-1,-1,-1,-1,not default
146,male,graduate school,2,28,50000,10138,10624,9195,7315,5913,4999,0,1100,1583,2000,1500,1000,3,0,0,0,0,0,not default
147,female,university,2,27,170000,9100,17918,17560,20852,20313,19269,0,182,358,351,1200,1661,0,0,0,0,0,0,default
148,male,graduate school,2,34,200000,59875,132233,135668,93069,176192,197236,8500,5000,5000,55500,5000,8000,0,0,0,0,2,1,not default
149,female,university,1,23,80000,12034,10123,9898,10205,10522,9168,1,2091,379,0,0,1650,0,0,2,3,2,1,not default
150,female,graduate school,1,60,260000,869,969,0,21400,-1100,-1100,0,1000,969,0,22500,0,-1,-1,-1,-1,-2,1,not default
151,male,university,1,32,140000,55251,58319,64648,68336,78142,86627,2602,2100,0,5000,3110,3455,0,2,0,0,0,0,not default
152,male,graduate school,2,25,80000,31826,41951,41087,43476,55744,42444,14000,2000,8000,6000,3000,30000,0,0,0,0,0,0,not default
153,male,graduate school,2,41,350000,0,0,630,1000,2906,208,0,0,0,630,1000,2906,-2,-1,-1,-1,-1,1,not default
154,female,university,1,56,280000,169311,177145,101783,132257,182350,208775,6321,7000,100000,5137,6700,8042,0,0,0,0,0,0,not default
155,female,high school,2,26,30000,14206,13084,11935,11427,10406,9014,1500,1500,1500,1000,1500,1700,0,0,0,0,0,0,not default
156,male,graduate school,1,34,140000,48699,47086,43129,32073,28049,23944,5504,3000,5000,11885,5000,5000,0,0,0,0,0,0,not default
157,female,graduate school,2,37,200000,94031,92505,90938,89643,102870,105420,5000,3560,3500,3250,3250,4000,0,0,0,0,0,0,not default
158,female,high school,2,30,200000,122324,146975,167163,189524,196143,196031,4500,5000,6200,7680,7108,7300,0,0,0,0,0,0,not default
159,male,high school,1,45,210000,154105,145533,137277,129847,122904,115785,10478,11678,11078,11078,10478,10478,6,5,4,4,3,2,default
160,male,high school,1,57,50000,14083,13711,13427,13447,12362,12854,600,600,500,500,1600,0,0,0,0,0,2,3,not default
161,male,graduate school,2,41,30000,28321,27579,28168,26718,27453,24357,1250,1200,0,2200,0,3500,0,2,2,2,2,2,not default
162,male,university,2,27,50000,540,1080,216,780,390,390,390,0,864,216,780,390,2,-1,-1,-1,-1,2,not default
163,male,high school,1,47,290000,423,396,792,396,396,1234,369,423,0,792,396,396,-1,0,-1,-1,-1,-1,not default
164,female,graduate school,1,34,250000,160220,155997,152803,151841,156858,141223,3920,6811,5656,5469,0,17994,0,0,0,2,0,0,not default
165,female,university,1,46,60000,27756,26655,26034,24908,23803,21148,1500,1500,1000,1500,1500,3000,0,0,0,0,0,0,not default
166,female,graduate school,2,27,110000,77254,76058,74737,104855,104795,101640,2800,3000,2900,3000,3900,5500,0,0,0,0,0,0,not default
167,male,graduate school,2,50,370000,13453,4792,15398,8204,15130,6093,4699,13453,4792,15413,8204,15383,-2,-2,-2,-2,-2,-2,not default
168,male,university,1,27,100000,-246,22979,29336,58824,96847,102349,50000,12,1398,1330,0,3166,0,0,0,2,2,-1,not default
169,female,university,1,35,90000,88290,85852,77317,75526,73854,72112,0,4000,10000,3652,3500,3500,2,0,0,0,0,0,not default
170,female,university,2,22,50000,28806,28318,27737,29366,29092,28040,567,1277,1017,982,1442,1510,0,0,0,0,0,0,not default
171,male,university,2,37,270000,24641,26344,27598,30534,33397,37695,2000,3000,4000,3000,2000,5000,0,0,0,0,0,0,not default
172,female,graduate school,2,30,300000,800,2672,4340,0,3280,688,746,800,2672,4340,0,3288,-1,-1,-1,-1,-1,-1,not default
173,female,university,2,22,50000,7725,3115,7457,11650,15273,8567,10000,5000,0,149,1000,15000,0,0,0,0,0,-1,not default
174,female,graduate school,2,24,50000,-3272,-3272,-2898,-709,-709,-709,0,0,0,0,0,0,-2,-2,-2,-2,-2,1,default
175,male,graduate school,2,29,360000,0,0,0,77,0,0,0,0,0,0,77,0,-2,-2,-1,-1,-2,1,not default
176,male,high school,1,56,130000,71345,72796,68557,67282,65978,64617,0,0,5500,3000,3000,3000,3,2,2,2,2,1,default
177,male,graduate school,2,30,80000,5380,1919,1438,600,100,6187,0,3500,500,1000,500,504,0,0,0,0,-1,-2,not default
178,male,university,2,30,50000,22361,22877,30221,48363,47801,48860,2000,0,2000,1000,1500,0,2,0,0,0,2,1,not default
179,female,university,2,22,20000,14906,14034,13130,13221,12622,16001,1000,1500,1500,500,1201,1212,0,0,0,0,0,0,not default
180,female,university,1,29,80000,11486,10662,61467,80250,81811,77883,0,1000,400,600,1000,5800,0,0,0,2,0,0,not default
181,male,graduate school,2,37,240000,1256,26279,26605,25331,26578,12212,65935,1256,0,2000,0,15000,-1,0,0,2,-1,-1,not default
182,female,high school,2,35,80000,17460,17770,17364,14873,12412,49608,2000,3000,2000,3000,6500,12500,0,0,0,0,-1,0,not default
183,female,graduate school,1,47,500000,70064,108834,122967,110340,110616,56422,20000,52183,20000,30000,30357,70010,0,0,0,0,0,0,not default
184,female,university,1,24,60000,19395,19323,18971,48839,57891,58024,2000,737,1000,3000,1600,2500,0,0,0,0,0,0,default
185,male,university,2,25,20000,1620,1615,12280,13070,11677,10642,0,1824,135,601,1593,1200,-1,0,0,0,0,0,not default
186,female,university,1,38,100000,16448,15868,16268,15323,13961,14483,1500,1000,0,1500,1600,0,0,2,0,0,2,1,default
187,female,graduate school,2,32,360000,16240,13881,68445,5287,57077,2616,38313,16250,13889,68454,5295,57087,-1,-1,-1,-1,-1,1,not default
188,female,high school,2,47,200000,189915,200162,196186,193936,202947,199436,6836,0,7134,6800,7000,8214,2,2,2,2,2,2,default
189,female,university,1,34,130000,14636,13864,13576,10270,5396,0,2000,1000,501,3500,5000,5396,0,0,0,0,-1,1,not default
190,female,university,2,31,20000,20487,20219,20835,21461,21087,21703,0,760,0,0,1000,0,2,3,4,4,5,1,not default
191,male,graduate school,2,32,310000,43328,60387,65875,62102,62147,59901,4223,5060,5028,10057,6031,10020,0,0,0,0,0,0,not default
192,female,graduate school,2,27,60000,22873,22499,23005,21669,20347,19625,846,900,0,2000,1664,1342,0,2,0,0,0,2,default
193,female,graduate school,2,29,180000,17042,17227,0,0,199,11386,5114,341,17227,0,0,199,0,-1,-2,-1,-1,-1,not default
194,female,graduate school,2,24,180000,0,0,10200,21282,22087,14670,0,0,0,200,0,37867,-2,0,0,2,-1,-1,not default
195,male,university,1,36,50000,658,72,-14,18250,18114,47790,20011,1000,500,2000,1000,2000,-1,-1,0,0,0,0,not default
196,female,graduate school,2,24,50000,40035,39228,38462,37680,37188,36166,0,1600,1532,1700,1400,1900,2,2,2,2,2,1,default
197,female,university,1,34,150000,1500,0,116,0,0,0,0,1500,0,116,0,0,-2,-2,-2,-2,-2,-2,not default
198,female,graduate school,2,22,20000,19247,18868,8332,19065,19446,18553,1000,693,20000,541,1032,1500,0,-1,0,0,0,0,not default
199,female,graduate school,1,34,500000,1151,1206,1251,2299,138,412,15816,1151,1206,1251,2299,138,-1,-1,-1,-2,-2,-2,not default
200,female,high school,2,22,30000,0,1630,29836,28122,29256,29010,0,0,104,1714,85,1000,0,0,0,2,2,1,default
201,female,graduate school,1,38,180000,0,0,0,0,0,750,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,not default
202,male,graduate school,2,31,140000,10833,27407,20225,17985,27299,27123,2500,0,7800,3000,0,25000,2,0,0,2,0,0,not default
203,female,graduate school,2,26,140000,487,13506,5818,13001,18000,13424,7004,487,13506,5841,13001,10000,-1,-1,-1,-1,0,-1,not default
204,male,university,2,26,120000,122135,119131,116000,113736,110578,107314,5000,5000,5000,4152,5000,5000,0,0,0,0,0,0,not default
205,female,university,1,48,360000,146511,173557,190211,234192,231878,226430,4100,5600,5600,5800,7300,9100,0,0,0,0,0,0,not default
206,male,high school,1,43,20000,19337,19450,19339,20237,20351,227,1700,3457,1459,1258,1305,22359,0,0,0,0,-1,-1,not default
207,male,graduate school,1,47,100000,0,390,390,390,1473,390,2380,0,390,390,390,1473,-1,-1,-1,-1,-1,-1,not default
208,female,university,1,41,210000,0,877,3763,343,1586,3088,419,0,877,3763,343,1586,-1,-1,-1,-1,-1,-1,default
209,female,university,2,24,80000,49568,49509,49552,79599,81554,81625,1800,1800,2000,2038,3000,3200,0,0,0,0,0,0,default
210,female,graduate school,1,50,330000,1709,0,1690,2854,4337,8872,258,1709,0,1702,2854,4345,-2,-2,-1,-1,-1,-1,not default
211,male,graduate school,2,24,220000,85632,0,8303,111520,108917,105607,0,85632,0,8303,5050,5000,-1,-1,-1,0,0,0,not default
212,female,graduate school,1,38,210000,1222,789,123,250,0,0,9616,1222,789,0,250,0,-1,-1,0,-1,-2,1,default
213,female,high school,1,43,40000,31339,33138,36207,38103,38901,38257,1000,1500,1500,1200,1504,1700,0,0,0,0,0,0,not default
214,male,university,2,39,30000,8032,7736,12992,18388,28108,28347,148,2000,1000,0,2309,3036,0,0,2,0,0,0,not default
